url_name,ticker_symbol,timestamp
TPS with Options,CORZ,2025-07-03_00-29-59
TPS with Options,W,2025-07-03_00-29-59
TPS with Options,PGY,2025-07-03_00-29-59
TPS with Options,URBN,2025-07-03_00-29-59
TPS with Options,OZK,2025-07-03_00-29-59
TPS with Options,CAR,2025-07-03_00-29-59
TPS with Options,SEZL,2025-07-03_00-29-59
TPS with Options,BYRN,2025-07-03_00-29-59
TPS with Options,MIRM,2025-07-03_00-29-59
TPS with Options,ODD,2025-07-03_00-29-59
